client_lat,client_lon,server_lat,server_lon
34.142,-81.205,33.6367,-84.4281
33.607,-88.317,33.6367,-84.4281
37.751,-97.822,32.8969,-97.0381
36.978,-93.233,41.9786,-87.9047
43.164,-70.675,45.4576,-73.7497
33.856,-84.213,33.6367,-84.4281
45.019,-89.505,41.9786,-87.9047
37.779,-122.216,37.3833,-122.0667
37.316,-121.933,37.3833,-122.0667
45.284,-83.502,43.6767,-79.6306
36.346,-94.251,32.8969,-97.0381
42.1033,-78.4042,40.7667,-73.8667
41.435,-75.412,40.7667,-73.8667
37.791,-122.402,37.3833,-122.0667
41.4601,-74.5424,40.7667,-73.8667
40.831,-72.976,32.8969,-97.0381
35.1613,-101.879,32.8969,-97.0381
39.793,-86.255,41.9786,-87.9047
29.573,-82.408,25.7833,-80.2667
38.0,-97.0,40.7667,-73.8667
34.052,-118.244,37.3833,-122.0667
40.656,-74.304,40.7667,-73.8667
43.348,-76.342,40.7667,-73.8667
35.171,-78.896,38.9444,-77.4558
37.419,-122.057,37.3833,-122.0667
30.079,-97.834,32.8969,-97.0381
40.171,-80.697,38.9444,-77.4558
37.342,-121.883,37.3833,-122.0667
47.546,-122.589,33.9425,-118.4072
41.383,-72.863,40.7667,-73.8667
29.542,-98.296,32.8969,-97.0381
39.953,-75.1756,40.7667,-73.8667
37.12,-94.498,32.8969,-97.0381
42.589,-71.442,40.7667,-73.8667
0.0,0.0,48.8584,2.34901
34.7465,-92.2896,32.8969,-97.0381
41.546,-73.782,40.7667,-73.8667
41.474,-81.58,38.9444,-77.4558
44.391,-88.031,41.9786,-87.9047
33.908,-117.108,33.9425,-118.4072
37.03,-76.345,40.7667,-73.8667
35.904,-83.841,41.9786,-87.9047
30.0029,-90.1037,33.6367,-84.4281
33.284,-95.921,32.8969,-97.0381
36.144,-115.032,33.9425,-118.4072
34.052,-118.244,37.3833,-122.0667
37.751,-97.822,25.7833,-80.2667
30.144,-81.54,33.6367,-84.4281
36.1687,-115.2841,47.4489,-122.3094
38.5776,-90.4245,41.9786,-87.9047
38.0,-97.0,40.7667,-73.8667
39.386,-119.873,37.3833,-122.0667
36.175,-115.137,37.3833,-122.0667
40.577,-73.99,40.7667,-73.8667
32.359,-97.334,32.8969,-97.0381
32.862,-96.593,32.8969,-97.0381
33.521,-86.802,33.6367,-84.4281
40.826,-74.211,40.7667,-73.8667
34.185,-118.391,33.9425,-118.4072
42.886,-78.878,40.7667,-73.8667
41.315,-72.86,40.7667,-73.8667
33.746,-117.868,33.9425,-118.4072
40.465,-74.231,40.7667,-73.8667
42.458,-83.947,41.9786,-87.9047
35.075,-83.21,32.8969,-97.0381
40.694,-73.991,40.7667,-73.8667
33.251,-86.921,33.6367,-84.4281
39.769,-75.8,40.7667,-73.8667
29.947,-90.123,32.8969,-97.0381
42.365,-71.103,40.7667,-73.8667
35.7328,-89.6593,33.6367,-84.4281
38.0,-97.0,37.3833,-122.0667
41.922,-87.652,41.9786,-87.9047
34.252,-118.784,33.9425,-118.4072
37.751,-97.822,37.3833,-122.0667
41.937,-87.655,41.9786,-87.9047
37.567,-122.371,37.3833,-122.0667
41.145,-73.343,32.8969,-97.0381
29.775,-95.613,32.8969,-97.0381
36.742,-93.029,41.9786,-87.9047
31.2,-97.992,32.8969,-97.0381
37.596,-122.066,37.3833,-122.0667
42.695,-89.142,41.9786,-87.9047
42.857,-73.799,40.7667,-73.8667
37.265,-79.923,33.6367,-84.4281
28.035,-80.589,25.7833,-80.2667
