year,quarter,avg_throughput,avg_rtt
2011,1,16.951767185521565,27.0
2011,2,13.454213312007305,13.064935064935064
2011,3,12.452311010551883,43.958981001727118
2011,4,14.327052599785159,43.64462845191855
2012,1,12.064872884062638,40.648843377253336
2012,2,12.354573354434628,38.168707901712985
2012,3,12.625259946993522,35.197264458983632
2012,4,12.950294074333735,36.132405076559209
2013,1,13.23133414168819,38.381900868953181
2013,2,13.405754804145692,39.541444276519741
2013,3,13.434881761136584,40.950056552607563
2013,4,12.286455004806287,45.957621213984169
2014,1,11.108863931603945,50.431902562709411
2014,2,12.439772987276548,50.35939748201438
2014,3,13.218057923661924,55.759002110135455
2014,4,14.411136170276516,52.280820910881772
2015,1,13.974177178421842,53.866954762780431
2015,2,23.217066568329308,30.133098947020336
2015,3,21.457574608041966,33.874576435162219
2015,4,24.483558863333638,29.569615188040764
2016,1,34.284619674103489,26.202822526918215
2016,2,40.784385313941172,25.84864853321184
2016,3,42.140781601541057,23.942077583509445
2016,4,43.005728105413446,24.89683722511057
2017,1,43.3472040779497,27.618842576725587
2017,2,35.165026116319432,24.991770663140851
2017,3,29.83400315839506,27.870736801824076
2017,4,26.587611258438226,29.2978620198567
2018,1,26.502777755185882,31.051906649773144
2018,2,28.311732950223409,32.4794200838993
2018,3,25.973425746295675,26.023180091676405
2018,4,28.662666604503588,29.642296744593946
