country,year,month,throughput
United States,2009,2,1.9896447833999069
United States,2009,3,2.9257944047609534
United States,2009,4,2.1312687757568778
United States,2009,5,2.0489887515490839
United States,2009,6,2.7226204201980879
United States,2009,7,4.8080368745212514
United States,2009,8,3.3806087369540809
United States,2009,9,4.1280182579776241
United States,2009,10,4.4652194552078646
United States,2009,11,7.1335389530080642
United States,2009,12,7.7277881810562725
United States,2010,1,6.8384374524345546
United States,2010,2,4.8320626305262895
United States,2010,3,5.0486775619508171
United States,2010,4,5.0776078090916634
United States,2010,5,5.13734362165402
United States,2010,6,5.1593315729513964
United States,2010,7,5.2144522424470985
United States,2010,8,4.8710460150703359
United States,2010,9,5.0241850957319141
United States,2010,10,5.339540970905424
United States,2010,11,5.0524842958397178
United States,2010,12,4.7209497093533459
United States,2011,1,4.6263178090676149
United States,2011,2,4.7342982161831282
United States,2011,3,5.0615038735129376
United States,2011,4,5.151580156849441
United States,2011,5,5.47350659256895
United States,2011,6,5.5292159595072654
United States,2011,7,4.9660977430604936
United States,2011,8,5.135768142152771
United States,2011,9,5.5258365636651128
United States,2011,10,5.7406226586223053
United States,2011,11,5.6977802150790309
United States,2011,12,5.7006371361238992
United States,2012,1,5.7627771000044961
United States,2012,2,5.9795668107035453
United States,2012,3,6.0468736977947906
United States,2012,4,6.3765628924630313
United States,2012,5,6.2796151739613988
United States,2012,6,6.2734249522311529
United States,2012,7,6.3535946623022221
United States,2012,8,6.4775195543672206
United States,2012,9,6.57050021818267
United States,2012,10,6.6731078213317137
United States,2012,11,6.7059046366916935
United States,2012,12,6.7422699095709255
United States,2013,1,6.7235914490565971
United States,2013,2,6.7632264723930771
United States,2013,3,7.0308103317219421
United States,2013,4,7.2502391044111736
United States,2013,5,7.8127754460920071
United States,2013,6,8.14263878066698
United States,2013,7,7.4788828247722812
United States,2013,8,7.613378459686273
United States,2013,9,6.9475246636126169
United States,2013,10,7.0384781935126579
United States,2013,11,5.984322758502862
United States,2013,12,5.6955765844876076
United States,2014,1,5.4552594355723629
United States,2014,2,6.0969112970958408
United States,2014,3,6.2478784062816608
United States,2014,4,7.2557218481706345
United States,2014,5,6.9950963981579681
United States,2014,6,6.4778999871366025
United States,2014,7,6.087967799102616
United States,2014,8,6.1432827160164907
United States,2014,9,6.6327390747685255
United States,2014,10,7.26283612538342
United States,2014,11,7.62040546530684
United States,2014,12,6.6748097297262339
United States,2015,1,5.765849142085905
United States,2015,2,7.1323426293497256
United States,2015,3,7.9814278086535113
United States,2015,4,8.5085855379252031
United States,2015,5,13.452580222546656
United States,2015,6,11.378374258784042
United States,2015,7,10.922815085059801
United States,2015,8,11.237920812038116
United States,2015,9,11.474062117139894
United States,2015,10,11.652957747353529
United States,2015,11,12.691307619478009
United States,2015,12,13.025833686354023
United States,2016,1,11.586093751803794
United States,2016,2,12.978033036897815
United States,2016,3,16.292802772758449
United States,2016,4,9.5217652353419648
United States,2016,5,10.078459240474654
United States,2016,6,11.243254307217653
United States,2016,7,12.376364844095161
United States,2016,8,13.001049311681184
United States,2016,9,12.856623425894638
United States,2016,10,12.841732194177817
United States,2016,11,13.077096067606695
United States,2016,12,13.543134606390794
United States,2017,1,14.049866342525345
United States,2017,2,14.330024914631437
United States,2017,3,14.425988514724061
United States,2017,4,12.234779331904381
United States,2017,5,11.203882480528057
United States,2017,6,11.304442102391478
United States,2017,7,11.313582663017794
United States,2017,8,11.559375060798576
United States,2017,9,12.113730082303043
United States,2017,10,12.509253197676534
United States,2017,11,12.7291664711148
United States,2017,12,12.85660550993102
United States,2018,1,12.785350323471308
United States,2018,2,11.859682016710815
United States,2018,3,14.120620521917028
United States,2018,4,16.2737608551309
United States,2018,5,15.891673617941143
United States,2018,6,18.291195047769651
United States,2018,7,19.882484740005125
United States,2018,8,15.183071986093948
United States,2018,9,14.546579401923648
United States,2018,10,14.368398966955027
United States,2018,11,14.359044730189495
United States,2018,12,14.326304849814347
United States,2019,1,14.746292700520316
United States,2019,2,15.130647386979957
United States,2019,3,15.231050772325558
United States,2019,4,15.818251244350765
United States,2019,5,15.609525165344783
United States,2019,6,15.284956549066633
United States,2019,7,14.991210326692693
United States,2019,8,15.427353612411602
United States,2019,9,15.447415912494048
United States,2019,10,15.93826265454544
United States,2019,11,17.007910874409518
