Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Secure Internet servers,IT.NET.SECR,..,1028,1404,2643,3117,3837,5317,32040,71731,83320,135647
Australia,AUS,Secure Internet servers,IT.NET.SECR,..,30906,48509,72472,81067,92461,108937,237318,530042,822020,931399
Brazil,BRA,Secure Internet servers,IT.NET.SECR,..,5529,8709,14059,17456,22778,32503,84536,328718,426560,578468
China,CHN,Secure Internet servers,IT.NET.SECR,..,1604,2631,5100,6999,13314,26989,66054,289923,622142,1027286
France,FRA,Secure Internet servers,IT.NET.SECR,..,18081,26229,40871,54208,78843,126340,446252,991690,1367541,1971311
Germany,DEU,Secure Internet servers,IT.NET.SECR,..,85810,118157,176527,209774,271517,351083,957300,2825322,4676435,6478761
India,IND,Secure Internet servers,IT.NET.SECR,..,2061,2842,5704,7880,10941,15313,50723,164791,254032,531807
Indonesia,IDN,Secure Internet servers,IT.NET.SECR,..,396,595,1320,1970,3006,4569,80094,338925,343412,455692
Italy,ITA,Secure Internet servers,IT.NET.SECR,..,7532,11306,18058,22587,29973,38140,79125,468800,740648,914642
Japan,JPN,Secure Internet servers,IT.NET.SECR,..,70810,86878,116093,134421,175217,191255,267900,758209,1476696,2361325
"Korea, Rep.",KOR,Secure Internet servers,IT.NET.SECR,..,8688,10413,13470,17000,20634,28452,36928,61580,106574,234958
Mexico,MEX,Secure Internet servers,IT.NET.SECR,..,1531,2001,3146,3756,4930,7054,14758,23144,28487,34635
Netherlands,NLD,Secure Internet servers,IT.NET.SECR,..,34640,53432,81309,95253,121508,164806,410955,1206251,1733183,2259681
Russian Federation,RUS,Secure Internet servers,IT.NET.SECR,..,2442,4126,8245,11442,17310,46313,168007,511677,749930,1348308
Saudi Arabia,SAU,Secure Internet servers,IT.NET.SECR,..,359,577,1176,1556,2189,2836,3442,5521,5445,6256
Spain,ESP,Secure Internet servers,IT.NET.SECR,..,9644,12387,18879,22766,29090,41316,128415,337663,528944,834027
Switzerland,CHE,Secure Internet servers,IT.NET.SECR,..,11343,19299,27881,31993,40108,57464,143994,278505,580292,821368
Turkiye,TUR,Secure Internet servers,IT.NET.SECR,..,6245,8689,16733,20046,23067,28548,103855,271843,356867,453706
United Kingdom,GBR,Secure Internet servers,IT.NET.SECR,..,82563,114622,159285,181643,210025,285617,570586,1400176,1811830,2405337
United States,USA,Secure Internet servers,IT.NET.SECR,..,767662,930471,1205823,1360046,1633177,2039539,3694357,9863566,21517004,40706354
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 02/21/2024,,,,,,,,,,,,,,
