ZIP,FIPS
90001,06037
90002,06037
90003,06037
90004,06037
90005,06037
90006,06037
90007,06037
90008,06037
90009,06037
90010,06037
90011,06037
90012,06037
90013,06037
90014,06037
90015,06037
90016,06037
90017,06037
90018,06037
90019,06037
90020,06037
90021,06037
90022,06037
90023,06037
90024,06037
90025,06037
90026,06037
90027,06037
90028,06037
90029,06037
90030,06037
90031,06037
90032,06037
90033,06037
90034,06037
90035,06037
90036,06037
90037,06037
90038,06037
90039,06037
90040,06037
90041,06037
90042,06037
90043,06037
90044,06037
90045,06037
90046,06037
90047,06037
90048,06037
90049,06037
90050,06037
90051,06037
90052,06037
90053,06037
90054,06037
90055,06037
90056,06037
90057,06037
90058,06037
90059,06037
90060,06037
90061,06037
90062,06037
90063,06037
90064,06037
90065,06037
90066,06037
90067,06037
90068,06037
90069,06037
90070,06037
90071,06037
90072,06037
90073,06037
90074,06037
90075,06037
90076,06037
90077,06037
90078,06037
90079,06037
90080,06037
90081,06037
90082,06037
90083,06037
90084,06037
90086,06037
90087,06037
90088,06037
90089,06037
90091,06037
90093,06037
90094,06037
90095,06037
90096,06037
90099,06037
90134,06037
90189,06037
90201,06037
90202,06037
90209,06037
90210,06037
90211,06037
90212,06037
90213,06037
90220,06037
90221,06037
90222,06037
90223,06037
90224,06037
90230,06037
90231,06037
90232,06037
90239,06037
90240,06037
90241,06037
90242,06037
90245,06037
90247,06037
90248,06037
90249,06037
90250,06037
90251,06037
90254,06037
90255,06037
90260,06037
90261,06037
90262,06037
90263,06037
90264,06037
90265,06037
90266,06037
90267,06037
90270,06037
90272,06037
90274,06037
90275,06037
90277,06037
90278,06037
90280,06037
90290,06037
90291,06037
90292,06037
90293,06037
90294,06037
90295,06037
90296,06037
90301,06037
90302,06037
90303,06037
90304,06037
90305,06037
90306,06037
90307,06037
90308,06037
90309,06037
90310,06037
90311,06037
90312,06037
90401,06037
90402,06037
90403,06037
90404,06037
90405,06037
90406,06037
90407,06037
90408,06037
90409,06037
90410,06037
90411,06037
90501,06037
90502,06037
90503,06037
90504,06037
90505,06037
90506,06037
90507,06037
90508,06037
90509,06037
90510,06037
90601,06037
90602,06037
90603,06037
90604,06037
90605,06037
90606,06037
90607,06037
90608,06037
90609,06037
90610,06037
90620,06059
90621,06059
90622,06059
90623,06059
90624,06059
90630,06059
90631,06059
90632,06059
90633,06059
90637,06037
90638,06037
90639,06037
90640,06037
90650,06037
90651,06037
90652,06037
90660,06037
90661,06037
90662,06037
90670,06037
90671,06037
90680,06059
90701,06037
90702,06037
90703,06037
90704,06037
90706,06037
90707,06037
90710,06037
90711,06037
90712,06037
90713,06037
90714,06037
90715,06037
90716,06037
90717,06037
90720,06059
90721,06059
90723,06037
90731,06037
90732,06037
90733,06037
90734,06037
90740,06059
90742,06059
90743,06059
90744,06037
90745,06037
90746,06037
90747,06037
90748,06037
90749,06037
90755,06037
90801,06037
90802,06037
90803,06037
90804,06037
90805,06037
90806,06037
90807,06037
90808,06037
90809,06037
90810,06037
90813,06037
90814,06037
90815,06037
90822,06037
90831,06037
90832,06037
90833,06037
90840,06037
90842,06037
90844,06037
90846,06037
90847,06037
90848,06037
90853,06037
90895,06037
91001,06037
91003,06037
91006,06037
91007,06037
91008,06037
91009,06037
91010,06037
91011,06037
91012,06037
91016,06037
91017,06037
91020,06037
91021,06037
91023,06037
91024,06037
91025,06037
91030,06037
91031,06037
91040,06037
91041,06037
91042,06037
91043,06037
91046,06037
91066,06037
91077,06037
91101,06037
91102,06037
91103,06037
91104,06037
91105,06037
91106,06037
91107,06037
91108,06037
91109,06037
91110,06037
91114,06037
91115,06037
91116,06037
91117,06037
91118,06037
91121,06037
91123,06037
91124,06037
91125,06037
91126,06037
91129,06037
91182,06037
91184,06037
91185,06037
91188,06037
91189,06037
91199,06037
91201,06037
91202,06037
91203,06037
91204,06037
91205,06037
91206,06037
91207,06037
91208,06037
91209,06037
91210,06037
91214,06037
91221,06037
91222,06037
91224,06037
91225,06037
91226,06037
91301,06037
91302,06037
91303,06037
91304,06037
91305,06037
91306,06037
91307,06037
91308,06037
91309,06037
91310,06037
91311,06037
91313,06037
91316,06037
91319,06111
91320,06111
91321,06037
91322,06037
91324,06037
91325,06037
91326,06037
91327,06037
91328,06037
91329,06037
91330,06037
91331,06037
91333,06037
91334,06037
91335,06037
91337,06037
91340,06037
91341,06037
91342,06037
91343,06037
91344,06037
91345,06037
91346,06037
91350,06037
91351,06037
91352,06037
91353,06037
91354,06037
91355,06037
91356,06037
91357,06037
91358,06111
91359,06111
91360,06111
91361,06111
91362,06111
91364,06037
91365,06037
91367,06037
91371,06037
91372,06037
91376,06037
91377,06111
91380,06037
91381,06037
91382,06037
91383,06037
91384,06037
91385,06037
91386,06037
91387,06037
91390,06037
91392,06037
91393,06037
91394,06037
91395,06037
91396,06037
91401,06037
91402,06037
91403,06037
91404,06037
91405,06037
91406,06037
91407,06037
91408,06037
91409,06037
91410,06037
91411,06037
91412,06037
91413,06037
91416,06037
91423,06037
91426,06037
91436,06037
91470,06037
91482,06037
91495,06037
91496,06037
91499,06037
91501,06037
91502,06037
91503,06037
91504,06037
91505,06037
91506,06037
91507,06037
91508,06037
91510,06037
91521,06037
91522,06037
91523,06037
91526,06037
91601,06037
91602,06037
91603,06037
91604,06037
91605,06037
91606,06037
91607,06037
91608,06037
91609,06037
91610,06037
91611,06037
91612,06037
91614,06037
91615,06037
91616,06037
91617,06037
91618,06037
91701,06071
91702,06037
91706,06037
91708,06071
91709,06071
91710,06071
91711,06037
91714,06037
91715,06037
91716,06037
91722,06037
91723,06037
91724,06037
91729,06071
91730,06071
91731,06037
91732,06037
91733,06037
91734,06037
91735,06037
91737,06071
91739,06071
91740,06037
91741,06037
91743,06071
91744,06037
91745,06037
91746,06037
91747,06037
91748,06037
91749,06037
91750,06037
91752,06065
91754,06037
91755,06037
91756,06037
91758,06071
91759,06037
91761,06071
91762,06071
91763,06071
91764,06071
91765,06037
91766,06037
91767,06037
91768,06037
91769,06037
91770,06037
91771,06037
91772,06037
91773,06037
91775,06037
91776,06037
91778,06037
91780,06037
91784,06071
91785,06071
91786,06071
91788,06037
91789,06037
91790,06037
91791,06037
91792,06037
91793,06037
91801,06037
91802,06037
91803,06037
91804,06037
91896,06037
91899,06037
91901,06073
91902,06073
91903,06073
91905,06073
91906,06073
91908,06073
91909,06073
91910,06073
91911,06073
91912,06073
91913,06073
91914,06073
91915,06073
91916,06073
91917,06073
91921,06073
91931,06073
91932,06073
91933,06073
91934,06073
91935,06073
91941,06073
91942,06073
91943,06073
91944,06073
91945,06073
91946,06073
91948,06073
91950,06073
91951,06073
